제품명,이미지 링크,가격(원),에너지 소비효율 등급,소비전력(W),화면사이즈(cm),해상도,디스플레이 종류,주사율(Hz),운영체제,스피커 출력(W),스탠드 제외 크기(mm),스탠드 제외 무게(kg),제품 사용 설명서
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,"2,290,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=H00Tl9VbuXyuJnCNbyJLww
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,,4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=YTp9r2C4sfzAj6FKVCixg
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579833/gallery/medium-interior01.jpg,"1,890,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=Mz3eG98m5Y7N8AE5rCGyw
LG 올레드 AI (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715827/gallery/medium01.jpg,,4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=Mz3eG98m5Y7N8AE5rCGyw
LG 올레드 AI (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720843/gallery/medium01.jpg,"3,180,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784832/gallery/medium-interior01.jpg,"2,090,000원",3등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=RK2y7F5ugYMykZcidS1r6Q
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10787832/gallery/medium-interior01.jpg,"1,920,000원",3등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 26,20W,"1,228 x 708 x 45.9",14.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=fYmaidy0PkGFypW5gdrUQ
LG 올레드 evo (스탠드형),https://www.lge.co.kr/kr/images/tvs/md09955837/gallery/medium-interior02.jpg,,4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 23,40W,"1,222 x 703 x 45.1",14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=hFFheNJ8egtzZp78f3PTA
LG 올레드 evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10570840/gallery/medium-interior01.jpg,"2,690,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,222 x 703 x 45.1",14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=jYkYbIhvnYcMDYCjgqw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770847/gallery/medium-interior01.jpg,"2,989,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,222 x 703 x 45.1",14.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=DVAyyHUed9QuSNm70kds8w
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770835/gallery/medium-interior01.jpg,"3,689,000원",4등급,0.5W↓,138 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,222 x 703 x 27.2",16.8,https://gscs-b2c.lge.com/open/downloadFile?fileId=lxOzlqhSFCcabquZknjQ
LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10402843/gallery/medium02.jpg,,4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,60Hz,webOS 23,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Zm3T57jrMBhFrPcRn0V8g
LG 올레드 TV (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10212827/gallery/medium-interior01.jpg,,4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 22,20W,"1,449 x 832 x 46.9",24,https://gscs-b2c.lge.com/open/downloadFile?fileId=v4iyH7IzMD8a5lVjNQftSQ
LG 올레드 TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319944/gallery/medium-interior01.jpg,"2,890,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=KYCvSa9vIM46l3e9Yf4w
LG 올레드 TV (스탠드형) + LG 사운드바,https://www.lge.co.kr/kr/images/tvs/md10715837/gallery/medium02.jpg,,4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=DtI2hD24st9SRJPuyQLHw
LG 올레드 TV (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720841/gallery/medium01.jpg,"4,180,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573839/gallery/medium-interior01.jpg,"2,900,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=m5GauN7RPcsHZ2Br804rg
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573839/gallery/medium-interior01.jpg,,4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=QlxCwlM9tDhGOceqga3rvA
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784839/gallery/medium-interior01.jpg,"3,290,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=xj8TLH8WK3fUIJWsrsmIuQ
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10787830/gallery/medium-interior01.jpg,"2,790,000원",3등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 26,20W,"1,449 x 832 x 45.9",17.1,https://gscs-b2c.lge.com/open/downloadFile?fileId=Xb4ppqxxdoXU2APZLZAstQ
LG 올레드 evo (스탠드형) + LG 스탠바이미 2,https://www.lge.co.kr/kr/images/tvs/md10720839/gallery/medium01.jpg,"4,780,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,441 x 826 x 45.1",16.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=BR3nqIXzkZe6F7DPU2FVWg
LG 올레드 evo AI (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10570838/gallery/medium-interior01.jpg,"2,890,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,441 x 826 x 45.1",16.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=aHDDCVsgctqb3h6xAcy3Q
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770863/gallery/medium-interior01.jpg,"4,688,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,441 x 826 x 45.1",16.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=gIy5ZNrs3rj0240vPWw7qw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770835/gallery/medium-interior01.jpg,"5,188,000원",4등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,441 x 826 x 24.3",22,https://gscs-b2c.lge.com/open/downloadFile?fileId=0VwHCDDO2w0olJtZPf2A
LG 올레드 evo (OLED M),https://www.lge.co.kr/kr/images/tvs/md10413831/gallery/medium-interior01.jpg,,5등급,0.5W↓,163 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,60W,"1,441 x 836 x 24.3",23.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=bpzUnw8lvah3EyUnL4yFA
LG 올레드 TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319947/gallery/medium-interior01.jpg,"5,190,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=u0O06oEh9Ys5fONPRBJQ
LG 올레드 TV (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md10319933/gallery/medium-interior01.jpg,"5,190,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 24,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=JRaoTH4gdylpqB2McZv6w
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10579838/gallery/medium-interior01.jpg,"5,490,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=VBDMUenyXCirfjM587iqMw
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573837/gallery/medium-interior01.jpg,,4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=XHbkXJIaD4816J7TtI7BcQ
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10784837/gallery/medium-interior01.jpg,"5,790,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=qZcQVTVxze0dY9zCvGQc8w
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10787828/gallery/medium-interior01.jpg,"5,290,000원",3등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 26,20W,"1,719 x 989 x 50.9",22.9,https://gscs-b2c.lge.com/open/downloadFile?fileId=0CVw5Rj319DItGoaH8DA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770859/gallery/medium-interior01.jpg,"6,590,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,20W,"1,711 x 982 x 47.1",23.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=fcVMPCIBRhozqTt7XxxgoA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770859/gallery/medium-interior01.jpg,"7,288,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,711 x 982 x 47.1",23.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=JgXkb9ebadVLwq7TCMRYw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543834/gallery/medium-interior02.jpg,"8,200,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 25,60W,"1,712 x 982 x 24.8",33.6,https://gscs-b2c.lge.com/open/downloadFile?fileId=9q92yP85k0AoW9Hv9MRwgg
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770832/gallery/medium-interior01.jpg,"11,388,000원",4등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,712 x 982 x 24.8",33.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=GeZAklKkOWdkKrqkQ2lAg
LG 올레드 evo AI (OLED M),https://www.lge.co.kr/kr/images/tvs/md10606845/gallery/medium-interior01.jpg,"9,300,000원",5등급,0.5W↓,194 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,60W,"1,712 x 986 x 24.8",35.5,https://gscs-b2c.lge.com/open/downloadFile?fileId=h4bXCNSEXTi8tfqOR1g
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10573834/gallery/medium-interior01.jpg,"7,700,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,20W,"1,842 x 1,055 x 52.9",26.7,https://gscs-b2c.lge.com/open/downloadFile?fileId=sjkqa4Fa6rzzStZcC9q9w
LG 올레드 AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10785832/gallery/medium-interior01.jpg,,4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 26,20W,"1,842 x 1,055 x 52.9",26.7,https://gscs-b2c.lge.com/open/downloadFile?fileId=pmwpVkd5JLY6kpEAxLeJPA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542833/gallery/medium-interior01.jpg,"9,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,40W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=8yRn8iM47D6XpP5cBfXCWg
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542833/gallery/medium-interior01.jpg,"8,800,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,20W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=C5fAX2zwgcKs7B0RwD64hg
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"10,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=WGnSSp5teybqaI3sHncX2w
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"8,900,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,20W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=qZLNU2GkY46OP6SrPA9Iw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770844/gallery/medium-interior01.jpg,"10,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,40W,"1,842 x 1,055 x 52.9",28.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=likcPzyNtgFnZhAheAivgw
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10543827/gallery/medium-interior01.jpg,"13,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 25,60W,"1,847 x 1,057 x 28.0",39,https://gscs-b2c.lge.com/open/downloadFile?fileId=MZw3qYX3T66hR3iByJzfAA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770829/gallery/medium-interior01.jpg,"15,000,000원",4등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 165Hz),webOS 26,60W,"1,847 x 1,057 x 28",37.2,https://gscs-b2c.lge.com/open/downloadFile?fileId=7IpaJjt08sCO9Mhkjsnw
LG 올레드 evo AI (OLED M),https://www.lge.co.kr/kr/images/tvs/md10606843/gallery/medium-interior01.jpg,,5등급,0.5W↓,209 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz (VRR 최대 144Hz),webOS 25,60W,"1,847 x 1,062 x 28.0",38.3,https://gscs-b2c.lge.com/open/downloadFile?fileId=Ejuhowgq1trjVQrjCx2xBg
LG 올레드 evo (벽걸이형),https://www.lge.co.kr/kr/images/tvs/md09451826/gallery/medium-interior01.jpg,,비대상,0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 22,60W,"2,155 x 1,225 x 28.2",57,https://gscs-b2c.lge.com/open/downloadFile?fileId=T4WHlkutA5AW7m3lQbbA
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10542831/gallery/medium-interior01.jpg,"42,900,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 25,60W,"2,155 x 1,230 x 28.2",57.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=6DXwy4xBJfLXmfFYmRP8Q
LG 올레드 evo AI (스탠드형),https://www.lge.co.kr/kr/images/tvs/md10770826/gallery/medium-interior01.jpg,"50,384,000원",비대상 (8K / 화면대각선 216cm 초과 모델은 비대상임),0.5W↓,245 cm,"4K UHD (3,840 x 2,160)",올레드,120Hz,webOS 26,60W,"2,155 x 1,230 x 28.2",57.0,https://gscs-b2c.lge.com/open/downloadFile?fileId=UmyB0RzKKk5V6hXdpkgKw
LG 스마트 캠,https://www.lge.co.kr/kr/images/tvs/md09964830/gallery/medium-interior02.jpg,"142,000원",,,,"1920 x 1080, 30fps",,,,,,,https://gscs-b2c.lge.com/open/downloadFile?fileId=r7V0EkmISdhW1Xe2SbvOUA
